realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2019.12.16,20191216,21400.0,700.0,20700.0,21650.0,20650.0,434353.0
2019.12.17,20191217,21850.0,450.0,21500.0,21950.0,21350.0,311304.0
2019.12.18,20191218,21950.0,100.0,21750.0,22150.0,21550.0,267306.0
2019.12.19,20191219,21750.0,-200.0,21950.0,22300.0,21600.0,174085.0
2019.12.20,20191220,22250.0,500.0,21850.0,22350.0,21650.0,278307.0
2019.12.23,20191223,22500.0,250.0,22100.0,22900.0,21200.0,438023.0
2019.12.24,20191224,22250.0,-250.0,22350.0,22650.0,22050.0,142951.0
2019.12.26,20191226,22500.0,250.0,22350.0,22700.0,22250.0,227283.0
2019.12.27,20191227,22300.0,-200.0,22500.0,23000.0,22000.0,300421.0
2019.12.30,20191230,22200.0,-100.0,22150.0,22400.0,21900.0,158138.0
2020.01.02,20200102,21850.0,-350.0,22200.0,22250.0,21350.0,257441.0
2020.01.03,20200103,21600.0,-250.0,21800.0,22150.0,21450.0,184953.0
2020.01.06,20200106,20700.0,-900.0,21300.0,21650.0,20650.0,300653.0
2020.01.07,20200107,21250.0,550.0,21000.0,21550.0,20900.0,203054.0
2020.01.08,20200108,20500.0,-750.0,21300.0,21450.0,20350.0,226665.0
2020.01.09,20200109,21300.0,800.0,21050.0,21400.0,20800.0,224941.0
2020.01.10,20200110,23150.0,1850.0,21750.0,23300.0,21650.0,871233.0
2020.01.13,20200113,22800.0,-350.0,23200.0,23700.0,22450.0,438556.0
2020.01.14,20200114,23000.0,200.0,22800.0,23450.0,22400.0,393907.0
2020.01.15,20200115,22700.0,-300.0,23100.0,24300.0,22700.0,744271.0
